COD,ORIGEM,TEMA,SUBTEMA (OPCIONAL),FACILIDADE DE RESPOSTA,NECESSIDADE DE EQUIPAMENTO,TEMPO PARA RESPOSTA,VAMOS RESPONDER?,OBS,PROCEDIMENTOS METODOLÓGICOS,PROCEDIMENTO METODOLÓGICO INDICADO (Breve descrição)
"1","ASSOCIAÇÃO DOS MORADORES DO CONDOMÍNIO DE PROTEÇÃO AMBIENTAL JARDIM GRACIOSA","LEGISLAÇÕES","regularização fundiária rural e urbana","","","","SIM","","","CONTEUDO"
"2","ASSOCIAÇÃO DOS MORADORES DO CONDOMÍNIO DE PROTEÇÃO AMBIENTAL JARDIM GRACIOSA","LEGISLAÇÕES","regularização fundiária rural e urbana","","","","SIM","","","CONTEUDO"
"3","ASSOCIAÇÃO DOS MORADORES DO CONDOMÍNIO DE PROTEÇÃO AMBIENTAL JARDIM GRACIOSA","AMBIENTAL","APA","FÁCIL","","PONDERADO","SIM","","","Semelhante a pergunta 007. A pergunta já é a perícia em si. Possível responder com integração de dados em GIS."
"4","ASSOCIAÇÃO DOS MORADORES DO CONDOMÍNIO DE PROTEÇÃO AMBIENTAL JARDIM GRACIOSA","SOCIAL","","FÁCIL","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","BREVE","SIM","","","Entrevista e levantamento de campo"
"5","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","LEGISLAÇÕES","APA, APP, NASCENTES ","","","","SIM","","","CONTEUDO / LEVANTAMENTO"
"6","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","AMBIENTAL","APP","MÉDIO","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","PONDERADO","SIM","","","Semelhante a pergunta 021. Havendo as coordenadas da edificação e da área da APP (é necessário ter a localização dos corpos hídricos e nascentes) é possível apresentar o croqui por GIS."
"7","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","AMBIENTAL","APA","FÁCIL","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","BREVE","SIM","","","Semelhante a pergunta 003. A pergunta já é a perícia em si. Possível responder com integração de dados em GIS."
"8","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","AMBIENTAL","NASCENTE","MÉDIO","","PONDERADO","SIM","","","Vinculada a indentificação das APPs."
"9","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","AMBIENTAL","DEGRADAÇÃO/RECUPERAÇÃO AMBIENTAL","MÉDIO","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","PONDERADO","SIM","","",""
"10","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","AMBIENTAL","DEGRADAÇÃO/RECUPERAÇÃO AMBIENTAL","","","","NÃO SE APLICA","","",""
"11","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","AMBIENTAL","","","","","","","",""
"12","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","FUNDIÁRIA","","","","","","","",""
"13","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","FUNDIÁRIA","","","","","","","",""
"14","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","FUNDIÁRIA","","","","","","","",""
"15","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","FUNDIÁRIA","","","","","","","",""
"16","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","CARTOGRAFIA","LEVANTAMENTO HISTÓRICO","MÉDIO","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","BREVE","DEPENDE DE FATORES EXTERNOS","","",""
"17","ASSOCIAÇÃO DOS PROPRIETÁRIOS DO CONJUNTO RESIDENCIAL GRACIOSA - PARQUE DAS NASCENTES (APCRG) – PINHAIS – PARANÁ","URBANÍSTICA","INFRAESTRUTURA","FÁCIL","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","BREVE","DEPENDE DE FATORES EXTERNOS","","FONTE SECUNDÁRIAS EM DOCUMENTOS E PÁGINAS OFICIAIS",""
"18","EDSON LUIZ CORDEIRO","URBANÍSTICA","PARÂMETROS URBANISTÍCOS / ZONEAMENTO","FÁCIL","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","BREVE","SIM","","LEVANTAMENTO DE CAMPO","Semelhante à questão 019 - se ela for respondida, essa estará incluída na resposta. A resposta pode ser obtida por meio de levantamento de campo e comparação das informações obtidas com a legislação."
"19","EDSON LUIZ CORDEIRO","URBANÍSTICA","PARÂMETROS URBANISTÍCOS / ZONEAMENTO","FÁCIL","NÃO HÁ NECESSIDADE DE EQUIPAMENTO","BREVE","SIM","","LEVANTAMENTO DE CAMPO","Abrange também a questão 018. A resposta pode ser obtida por meio de levantamento de campo e comparação das informações obtidas com a legislação."
